fid,orig_fid,OBJECTID,DAMAGE_ARE,CREATED_DA,MODIFIED_D,FEATURE_US,OBSERVATIO,REGION_ID,LABEL,HOST_CODE,HOST,HOST_GROUP,HOST_GRO_1,DCA_CODE,DCA_COMMON,DAMAGE_TYP,DAMAGE_T_1,PERCENT_AF,PERCENT__1,PERCENT_MI,PERCENT_MA,PERCENT__2,NOTES,OBSERVAT_1,COLLECTION,SNAPGRID_R,SNAPGRID_C,AREA_TYPE,ACRES,STATUS,SURVEY_YEA,LEGACY_SEV,LEGACY_S_1,LEGACY_PAT,LEGACY_P_1,LEGACY_TPA,LEGACY_NO_,LEGACY_FOR,LEGACY_F_1,GRP,OBSERVAT_2,IDS_DATA_S,DATA_SOURC,US_AREA,SHAPE_Leng,SHAPE_Area,tmean,tmax,tmin,tdmean,ppt,vpdmin,vpdmax
5208,5208,128885,20062014250,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2006,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,1254441,87,IDS LEGACY FEATURES,CONUS,314.4978582,7848.065893,5.666000366,12.03000069,-0.69600004,-6.486299515,466.5730286,2.201000214,12.63900089
5209,5209,128897,20062013436,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2006,-1,No Data,-1,No data,1.05,2,9000,MIXED CONIFERS,1,1253625,87,IDS LEGACY FEATURES,CONUS,314.572836,7851.549989,3.553000212,11.84900093,-4.741000175,-5.915091515,379.934021,0.976000071,12.86900043
5210,5210,128920,20062013802,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,10.1,1,2006,-1,No Data,-1,No data,1.98,20,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,1253992,87,IDS LEGACY FEATURES,CONUS,741.0830131,40991.02848,2.271000147,9.052000046,-4.510000229,-6.971141338,528.5030518,1.376000047,10.00500011
5211,5211,128941,20042016104,,,,,2,,202,Douglas-fir,,,11049,Douglas-fir engraver,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2004,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,939846,87,IDS LEGACY FEATURES,CONUS,314.3313988,7847.628868,7.123000145,13.4980011,0.748000026,-4.442533016,651.993042,2.278000116,12.90400028
5212,5212,129008,20012011500,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,0.2,1,2001,-1,No Data,-1,No data,25,5,9000,MIXED CONIFERS,1,407441,87,IDS LEGACY FEATURES,CONUS,112.7695306,1003.870038,8.217000008,14.90500069,1.529000044,-4.396132946,501.1370239,2.874000072,14.84600067
5213,5213,129108,20032000118,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,5,1,2003,-1,No Data,-1,No data,1,5,9000,MIXED CONIFERS,1,745432,87,IDS LEGACY FEATURES,CONUS,502.9123049,20103.82103,5.708000183,12.17000103,-0.753000021,-5.091074944,472.2280273,1.984000087,12.59400082
5214,5214,129146,20092007724,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,83,1,2009,-1,No Data,-1,No data,1,83,9000,MIXED CONIFERS,1,1744092,87,IDS LEGACY FEATURES,CONUS,2406.75845,336106.2953,4.351000309,10.7140007,-2.011000156,-5.961399555,521.7480469,1.560000062,11.21600056
5215,5215,129148,20092006821,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,174.1,1,2009,-1,No Data,-1,No data,10,1741,9000,MIXED CONIFERS,1,1743157,87,IDS LEGACY FEATURES,CONUS,3770.481004,704931.9296,4.749000072,11.24700069,-1.747000098,-6.50989151,561.368042,1.762000084,11.73900032
5216,5216,129192,20012008294,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,0.2,1,2001,-1,No Data,-1,No data,30,6,9000,MIXED CONIFERS,1,404213,87,IDS LEGACY FEATURES,CONUS,112.7503863,1003.492331,7.047000408,14.24900055,-0.154000014,-3.195050001,345.7920227,1.704000115,14.43200111
5217,5217,129195,20072049253,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,9.9,1,2007,-1,No Data,-1,No data,1.01,10,9000,MIXED CONIFERS,1,1425050,87,IDS LEGACY FEATURES,CONUS,709.4100154,39941.92965,3.896000147,10.14700031,-2.353000164,-5.734149933,634.5550537,1.432000041,11.01600075
